id,clean_content,label
1,huwa tuhkan jadi takut enggak bisa diubahhh aku skincare sama spx amann cuma enggak tau nih kalau merch banyak bilang enggak aman aku optimis gantung dom cuma jadiii was wes wos kakak dom manaaa,Non Self-Harm
2,the point is kali ibu kota anjur acara antarabangsa skala besar band aid method hilang jalan simply tangkap kurung ketika optimis kurang kurang kini kebaji jaga biarpun ketika,Non Self-Harm
3,istimewa selalu optimis walaupun ampas,Non Self-Harm
4,optimis,Non Self-Harm
5,lihat main asia musim depan cukup optimis sih bicara banyak banding lion city kalah final,Non Self-Harm
6,optimis ucap selamat,Non Self-Harm
7,optimis lolos walaupun pakai pm banyak dor,Non Self-Harm
8,okey honey focus tetap semangat optimis yuk yuk,Non Self-Harm
9,optimis lawan tiongkok main timnas shayne ole ungkap siap skuad garuda,Non Self-Harm
10,sama manusia kuat bagus cahaya selalu bikin muncul asa optimis pas dengar asa visual cahaya muncul liput,Non Self-Harm
11,tanda tangan orang kerja keras optimis hidup lihat gelombang akhir garis naik atas,Non Self-Harm
12,tetap optimis laga sisa,Non Self-Harm
13,kamu optimis,Non Self-Harm
14,baik memang kudu optimis kok apa keadaanya,Non Self-Harm
15,indonesia bukan gelap penuh peluang hadap tantang semangat optimis solusi nyata,Non Self-Harm
16,tetap optimis tonton hadap endingnya ubah kok mention kamu enggak masuk mentabku,Non Self-Harm
17,iya tetap optimis deh,Non Self-Harm
18,lelah optimis gue,Non Self-Harm
19,aku saudara semua kerja enggak pakai ordal kak semangat tetap optimis tuhan berkatiiiii,Non Self-Harm
20,optimis wujud tekad indonesia tuju swasembada pangan nasional,Non Self-Harm
21,gue tantang coba jis optimis pakai cara sama kayak bcissemoga sampai tds,Non Self-Harm
22,tetap optimis sulit hilang bahagia datang hampir,Non Self-Harm
23,sing optimis,Non Self-Harm
24,terlalu optimis nyata baik,Non Self-Harm
25,bapa sih ken kakak daftar pilih pertama smpn kalo pilih dua bebas bapa sih rasa optimis kakak negeri lewat jalur tes standar bukan kakak atas soal prediksi bapa enggak berani lalu jalur tes standar,Non Self-Harm
26,enggak apa banget disiapin segalanyaaa optimis tiketnyaaa,Non Self-Harm
27,kak sempat lewat sponsorrrrr nonono serah optimis ketemu jaesahi,Non Self-Harm
28,salut gue sama beliau tetap optimis negara acak acak,Non Self-Harm
29,matur nuwun doa bang udinharus bawa duha biar beli allah lewat hamba nya mampir lapak baik online offline,Non Self-Harm
30,tetap optimis ctc terus milik nilai tinggi uid,Non Self-Harm
31,optimis lolos pil,Non Self-Harm
32,wkwkwwk optimis dulu oum sih personal agreement kan clear tinggal mau bayar apa enggak pool nya,Non Self-Harm
33,optimis not,Non Self-Harm
34,kata aku festa bakal perform nya louder tahan bombs timbun tahun tahun,Non Self-Harm
35,nyut nyut asma kelah optimis mau sehat,Non Self-Harm
36,optimis terlalu yakin tak tampak apa depan mata nih amat bimbang ghuyup lah pru nih tak selangor federal kok tengok,Non Self-Harm
37,eh hairstylenyaa kayak beda enggak sih optimis enggak ada ubi,Non Self-Harm
38,resmi sekretariat rmmu zulfan nazli optimis visi misi manfaat masyarakat medan utara,Non Self-Harm
39,optimis season,Non Self-Harm
40,bilang enggak optimis tanya,Non Self-Harm
41,capai target juta rumah perintah optimis ekonomi nasional jadi lebih gerak,Non Self-Harm
42,enggak apa optimis kali nyangkut kan wkwkwk semangat,Non Self-Harm
