id,content,label
1,"HUWA TUHKAN JADI TAKUT INI GBS DIUBAHHH tapi aku skincare sm spx amann cuma gatau nih kalau merch, banyak yg bilang ga aman tp aku optimis tergantung dom cuma jadiii was wes wos  kakak dom manaaa?"""""""",0,0",Non Self-Harm
2,"The point is setiap kali ibu kota menganjurkan acara antarabangsa skala besar, band aid method untuk menghilangkan mereka ini dari jalanan adalah simply tangkap dan ‘kurung’ dimana2 seketika. Saya masih optimis sekurang-kurangnya kini kebajikan mereka terjaga biarpun seketika"""""""",0,0",Non Self-Harm
3,"itulah istimewanya kita, selalu optimis walaupun ampas """""""",0,0,1",Non Self-Harm
4,"Optimis aja,0,0",Non Self-Harm
5,"Melihat kembali main asia musim depan.. sy cukup optimis sih bisa bicara banyak. karena sebagai perbandingan, lion city yg kita kalahkan bisa sampe final",Non Self-Harm
6,"optimis dapat ucapan selamat,0,0",Non Self-Harm
7,"optimis lolos walaupun pk pm banyak dor,0,0",Non Self-Harm
8,"Okey honey focus tetap semangat dan optimis bisa yuk bisa yuk bisa ,0,0,0,3,[]",Non Self-Harm
9,"Optimis Lawan Tiongkok, Pemain Timnas Shayne & Ole Ungkap Persiapan Skuad Garuda"""""""",0,0",Non Self-Harm
10,"Sama! Manusia2 kuat bagus, tapi Cahaya selalu bikin muncul perasaan optimis. Pas denger juga berasa ada visual cahaya yang muncul menyeliputi."""""""",0,0",Non Self-Harm
11,"Tanda tangan orang pekerja keras dan optimis akan setiap hal di kehidupan (dilihat dari ada 8 gelombang dan di akhiri garis yg naik ke atas),0,0",Non Self-Harm
12,"tetap optimis masih ada 10 laga sisa,0,0",Non Self-Harm
13,"km masih bisa kah optimis ,1,0,0,4,[]",Non Self-Harm
14,"baiknya emang kudu optimis kok apapun keadaanya,0,0",Non Self-Harm
15,"Indonesia bukan gelap, tapi penuh peluang! Kita hadapi tantangan dengan semangat optimis dan solusi nyata#TolakProvokasi #IndonesiaMenyala #StopProvokasi"""""""",0,0,0,1",Non Self-Harm
16,"Tetap optimis menonton dan berhadap endingnya berubah. Kok mention kamu gak masuk mentabku ya?,1,0",Non Self-Harm
17,"Iya harus tetep optimis deh,0,0",Non Self-Harm
18,"udah lelah optimis gw,0,0",Non Self-Harm
19,"Aku 3 bersaudara, semuanya kerja gapake ordal kak. Semangat yaa!! Tetep optimis!!! Tuhan berkatiiiii"""""""",0,0",Non Self-Harm
20,"Optimis wujudkan tekad Indonesia menuju swasembada pangan nasional #swasembadapangan,0,0",Non Self-Harm
21,"dengan ini gue tertantang nyobain jis tapi masih optimis bisa pake cara yg sama kek bcissemoga kesampean di tds 4,0,0,0",Non Self-Harm
22,"Tetap optimis, kesulitan ini akan hilang dan kebahagiaan yang akan datang menghampiri kita !!"""""""",8,0",Non Self-Harm
23,"SING OPTIMIS ,1,0,0",Non Self-Harm
24,"Terlalu Optimis itu ternyata tidak baik juga,0,0",Non Self-Harm
25,"Bapa sih pengennya kaka daftar pilihan pertamanya ke smpn 2, kalo pilihan ke duanya bebas. Bapa sih merasa optimis kaka bisa ke smp negeri lewat jalur tes terstandar, bukan karena kaka bisa mengatasi soal, tapi prediksi bapa karena ga ada yang berani melalui jalur tes terstandar."""""""",0,0",Non Self-Harm
26,"Gpp banget ini disiapin segalanyaaa.. Sambil optimis dapat tiketnyaaa...,0,0",Non Self-Harm
27,"kakkkk masih ada kesempatan lewat sponsorrrrr, nonono menyerah yaaa harus optimis bisa ketemu jaesahi!! """""""",1,0,0,132,[],[]",Non Self-Harm
28,"salut gue sama beliau, tetap optimis walau negaranya udah diacak-acak """""""",0,0",Non Self-Harm
29,"Matur nuwun doanya bang udinHarus dibawa duha, biar yg ada di beli Allah lewat hamba2 nya yg mampir lapak baik online+offline",Non Self-Harm
30,"Tetap optimis bahwa CTC akan terus memiliki nilai tinggi UID:  36310276291670796,0,0",Non Self-Harm
31,"OPTIMIS LOLOS PIL 1,0,0,0,5",Non Self-Harm
32,"wkwkwwk optimis dulu oum..belum sih..tapi personal agreement kan udah clear..tinggal mau bayar apa ngga pool nya,0,0",Non Self-Harm
33,"harus optimis pasti dinotis,0,0",Non Self-Harm
34,"kata aku festa nanti kita bakalan dapet perform nya louder than bombs yang udah mereka timbun bertahun tahun #optimis,0,0",Non Self-Harm
35,"nyut nyut asma berkelahi dgn optimis mau sehat,0,0",Non Self-Harm
36,"Optimis boleh tapi terlalu yakin sampai tak nampak apa depan mata ni amatlah membimbangkan. Ghuyup la PRU-16 nanti ni, tak selangor, federal. Ko tengoklah nanti"""""""",0,0",Non Self-Harm
37,"ehh tp hairstylenyaa kayak beda gasih? (optimis gaada ubi),1,0",Non Self-Harm
38,"Peresmian Sekretariat RMMU, Zulfan Nazli Optimis Visi Misi Akan Bermanfaat Bagi Masyarakat Medan Utara"""""""",0,0",Non Self-Harm
39,"OPTIMIS SEASON 2 ,1,0",Non Self-Harm
40,"udah dibilang ga optimis masi aja ditanya,0,0",Non Self-Harm
41,"Capai Target 3 Juta Rumah, Pemerintah Optimis Ekonomi Nasional Jadi Lebih Bergerak #BersamaMembangunNegeri"""""""",0,0",Non Self-Harm
42,"Gpp, optimis, kali aja ada yg nyangkut kan wkwkwk, semangat"""""""",0,0",Non Self-Harm
43,"Harus optimis terus dong,0,0",Non Self-Harm
44,"Anak-anak Indonesia patut dapet makanan yang terbaik, dan dukungan kayak gini bikin kita optimis"""""""",0,0",Non Self-Harm
45,"Ini kenapa tiba-tiba langsung ga pede, padahal udah optimis untuk bisa lolos."""""""",0,0",Non Self-Harm
46,"belom aja...optimis kk,0,0",Non Self-Harm
47,"Wajib sll optimis...pokoknya rajin minum obat, rajin olahraga...dijamin semua akan baik2 sj """""""",0,0,0",Non Self-Harm
48,"gw aja cm ada 60 pull an tp optimis prefarm skirk+sign ,0,0",Non Self-Harm
49,"Menko AHY Optimis Asia Tenggara Dapat Bangun Masa Depan Berkelanjutan. #ahy,0,0",Non Self-Harm
50,"Menko AHY Optimis Asia Tenggara Dapat Bangun Masa Depan Berkelanjutan.,0,0",Non Self-Harm
51,"#optimis,0,0",Non Self-Harm
52,"perlu perlindungan ekstra buat jaksa! Berani demi keadilan! Tetap optimis!,0,0",Non Self-Harm
53,"optimis tuhan akan selalu untuk umatnya,0,0",Non Self-Harm
54,"After ngelewatin era skripsi, jujur kataku coba nikmati prosesnya. Yg kita kejar/dapetin bkn cm gelar, skripsi, or penelitiannya tp lebih dr itu. Emg sih takut itu wajar tapi jgn sampe hopeless, bismillah bisa kok. Jgn nethink ya, semangat! Optimis terus  (emot ngajak tos)"""""""",1,0,0",Non Self-Harm
55,"Blio ni kadang kiding bilang optimis di monako, pdhl hrusnya sadar dia ada di williams bukan ferrari lagi """""""",1,0,0",Non Self-Harm
56,"#optimis #keepfighting,1,0,0",Non Self-Harm
57,"Dari bisa comeback lawan Real Madrid, sampai gugurin Lyon dengan agregat yang meyakinkan juga, jujur begitu tau mereka masuk final, saya udah optimis sih bakal juara meskipun lawannya tim sekelas Barcelona Femeni."""""""",6,19",Non Self-Harm
58,"Optimis aja bang 2,5M poin jadi $500 amiin"""""""",1,0",Non Self-Harm
59,"kmrn aku pake cc jd lgsg nge debit diambil saldo nya (agak optimis menang soalnya pas jam di undi gada refund) jd beraniin buka email hehe semoga ke jawab penasaran nya yaaa,0,0",Non Self-Harm
60,"Optimis ke depan bisa lebih baik,0,0",Non Self-Harm
61,"Aaa SEMANGAT YA!!! semoga langsung dapet yang mantep btw keknya gw udh nyerah di Hukum deh gw lagi nyari kerja di bidang lain, lagi usaha semoga dapet yg gajinya dollar  susah tp tetep optimis"""""""",0,0,0,9,[],[]",Non Self-Harm
62,"Doa akhir2 ini cuma minta tahun ini nikah, punya rumah yg isinya ketentraman, rejeki yg baik dan berlimpah ruah. Sangat optimis walaupun blm ada pandangan jodoh """""""",0,0",Non Self-Harm
63,"agak jauh tapi gapapa harus optimis,0,0",Non Self-Harm
64,"Hus, bkn. Biar lebih optimis & semangat ngegapai banyak hal. Kaya usaha & struggle kita bakal berbuah. 'It wasn't easy, but I made it', something like that """""""",0,0",Non Self-Harm
65,"Pramono optimis Jakarta akan melesat berada di urutan ke-58 sebagai kota global. Jakarta saat ini menempati urutan ke-74 dalam Global City Index tahun 2024.,1,2",Non Self-Harm
66,"optimislah, kapan kita ga optimis"""""""",0,0",Non Self-Harm
67,"tetap optimis kalo kebenaran pasti akan terkuak,0,0",Non Self-Harm
68,"2 hari lalu pesimis, kemaren optimis, hari ini pesimis, besok optimis, lusa pesimis, 3 hari lagi optimis, 4 hari lagi........(lolos)"""""""",0,0",Non Self-Harm
69,"pusing banget tapi tetep optimis,0,0",Non Self-Harm
70,"h-4 banget nih gua takut untuk optimis tapi harus optimis men,0,0",Non Self-Harm
71,"Optimis Ki prlu soale liga 2 Ki kdang Yo angel,1,0",Non Self-Harm
72,"gua ngeliat cast resplay pada ngomongin season 2 terus, gua jadi optimis"""""""",0,0,0,9,[],[]",Non Self-Harm
73,"Prinsip harry yg penting optimis,0,0",Non Self-Harm
74,"iya plssssssss tp harus tetep optimis bakal lolos jiaa,1,0",Non Self-Harm
75,"Gapapa optimis besok podium.,4,0",Non Self-Harm
76,"UDAH GUE KATA, JANGAN DIKASIH OPTIMIS DULU FERRARI, KANNNNN GINI KANN, PERASAAN GUE KAGAK ENAKKK"""""""",0,0,0,353",Non Self-Harm
77,"baru tekumpul 1M, optimis yukkkk """""""",1,0",Non Self-Harm
78,"meski barca femeni lagi kuat-kuatnya, tetap optimis taklukkan eropa guns! """""""",0,0",Non Self-Harm
79,"Ditunggu pap igd nya, karena ini nyata adanya (tetap optimis) (gws)"""""""",0,0",Non Self-Harm
80,"Neks taim kita manifes lagi (optimis),0,0",Non Self-Harm
81,"Bismillah seng penting yakin, setelah banyak riyadhoh dan melangitkan doa"""""""""""""""". Optimis sek dadi takdir e"""""""",0,0",Non Self-Harm
82,"SEMOGA DIKASIH RESTU MALAM INI, TETEP OPTIMIS SAYAANGG"""""""",0,0",Non Self-Harm
83,"makin lama, makin optimis buat lebih banyak diem. udh males nanggepin hal hal ga penting"""""""",0,0",Non Self-Harm
84,"Nonton film sedih kan? *bertanya dengan optimis,1,0",Non Self-Harm
85,"Pesan untuk kamu saat ini yang berzodiak Leo  Luck Pesannya untuk kamu saat ini adalah bahwa keberuntungan sudah akan kamu dapatkan secepatnya. Tetap kuat dan optimis! Lakukan usahanya, selaraskan energinya & lepaskan untuk hasilnya.#tarot #leo"""""""",0,0,0,17",Non Self-Harm
86,"Tadi sore udah optimis perasaan, napa jadi pesimis lagi gara-gara pada mau resign, plis lah... Ngerti banget kok ini berat cuma ya... Apa secepat ini? Pemerintah asu"""""""",0,0",Non Self-Harm
